Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Body,Electrical,Design,Software
WAL-LEAF,"",Draft,Pending,Project overview,04/01/2022 20:40:40,"","",,"","",,Georgia Institute of Technology - Main Campus,3,"","","",""
Pacisafe,https://robotech2022.devpost.com/submissions/317495-pacisafe,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 20:57:30,"Inspiration

According to UNICEF, one of the leading cause of deaths in Sub-Saharan Africa is malaria, which accounted for 274,000 deaths of children under the age of 5, many of which are infants, in 2019. 
This translates to one child under 5 dying of malaria every 2 minutes. One of the prominent symptoms of malaria is fever. Thus there is a need for detecting fever in infants early on.

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Pacisafe
","",https://youtu.be/icNqO_WcK80,"",amazon-web-services,,Georgia Institute of Technology - Main Campus,2,no,yes,yes,yes
Got Methane?,"",Draft,Pending,Additional info,04/01/2022 21:07:13,"Inspiration
The grumbles of our stomachs filled the Klaus Atrium. When brainstorming ideas on Friday night, hunger dominated our minds. All of our thoughts were circling back to food in some way; inefficiencies in processing, harvesting, and growth, food waste, single use cutlery and tableware. Finally, we thought about an earlier stage of food, the one that lays in the fields all day eating grass. The processes around utilizing a cow’s resources are extremely inefficient, and yet the least sustainable part of the process is the most natural one. Cows are responsible for over 40% of the world’s methane emissions, just from their mouths (not their farts, contrary to popular belief). Since methane is around 80 times worse for the environment than CO2, we thought this was a hugely impactful problem to try and tackle. The only existing ‘solution’ we could find is changing the cow’s diet to mostly seaweed, but this isn’t a good solution since very few ranchers are willing to adopt dietary changes to reduce methane emissions at the cost of decreasing the quality and quantity of output from their cows.

What it does
This is where ‘Got Methane?’ comes into play. We’ve designed wearable technology for cows that captures the air from a cow’s burp so that its methane can be extracted, stored, and put towards more sustainable practices. For example, captured methane would be sold by farmers to the energy sector to be used for sustainable energy production. The process of combusting methane to produce energy converts methane to CO2 and water. Thus, instead of methane being released into the air by cows, the methane goes towards energy production, and a smaller amount of an 80x less harmful gas is released(CO2). Our mechanism captures these methane burps with a tube secured to the halter of a cow, which is a padded rope around a cow’s head used to lead them. One end of the tube goes down their head between the eyes and opens just above their mouth, while the other end of this tube connects to a vacuum pump. This pump then connects to a large form fit Tedlar bag, which is designed specifically for containing VOC (Volatile Organic Compounds) gasses, such as methane. Also, the Tedlar bag has a check valve, which enables gas to only enter the bag through the tube connected to the vacuum pump, and not reverse pressurize the pump. Our system is attached to the cow in a saddle - manner with buckle straps with a hard shell on top to hold electronics and the vacuum pump. The final component is a methane sensor attached to the tube near the mouth of the cow that detects when the cow has burped or is releasing methane. This triggers the vacuum pump to turn on and suck the cow’s breath through the tube, capturing it in the Tedlar bag. Twice a day, cows are led through automatic milking stations, so the addition of a bag emptying station would only add a single easily automatable process to their routine. The future goal would be to add automatic battery charging when the cow is in the stall as well as emptying the bags. Both of these things only require making one soft connection which is extremely cheap and viable to autonomously implement. 

How we built it
After researching existing air pump systems and making an in-depth plan for how to build our fully functioning cow methane container, we started by searching for parts at home depot and McMaster-Carr, and finally made a bill of materials. After conceptually designing our methane intake system, we wanted proof that our conceptual product could truly be made into reality and ensure that we weren’t overlooking any aspects of our design. Thus, we created a 3D version using Solidworks. We individually imported pieces from McMaster-Carr, and organically drew the tube system and custom halter. After designing it in Solidworks, we initially wanted to make a full-scale prototype, but we quickly realized that the special parts we needed weren’t something we could gather from the maker-spaces on campus. Instead, we decided to make a representation of the main functional parts. To start, we 3D printed the head of the cow. Next, we machined wood into two semicircles and connected them with dowels to make a rib cage of sorts that represents the body of the cow. In order to make this actually look like a cow, we connected the 3D printed head and the wooden cage with glue and covered the cage in gray cloth. After which, we 3D printed the mock vacuum pump and tube and connected them with hot glue to the entire ‘cow’ as well. Lastly, we tied a halter out of yarn and put it onto the head.

Challenges we ran into
When it comes to taking a cow's breath away, we found that roses, charm, and a nice dinner just didn’t seem to do the trick. The challenges that we ran into while designing our product were all about validating feasibility and finding the exact right parts to make our mechanism. For example, when trying to find our air pump and voltage requirements we had to calculate the airflow speed, volume, and contents of a cow’s belch. The only airflow data we could find online was about putrescine molecules from human farts which have a different speed, density, and composition than a cow’s belch. We had to dig through chemistry and physics textbooks and random research papers on particle trajectory to apply methods and derive equations for our specific situation. It was only after calculating the speed and volume of a cow's burp that we were able to search for a vacuum pump that was cost-effective, small in size and weight, and had the required flow rate to optimize collecting a cow’s burps. Another challenge that we faced was safety. By having electronics and methane in close proximity, we had to ensure that all of our wires and electronics could be properly insulated and grounded to remove the risk of any static electricity buildup. We originally wanted active carbon methane filtration inside of the Tedlar bag on the cow’s back, but we pivoted from this idea in order to keep the electronic components as far away from the methane as possible, thus minimizing the risk of combustion. 

Accomplishments that we're proud of
The level of research we collected about cow methane emissions, its inner workings, and the many technologies and areas of expertise even touching the area was truly something to be proud of. As silly as becoming a subject matter expert in the aerodynamics of cow methane emissions sounds, it truly is a feat we’re pleased to have accomplished. Aside from learning the intricacies of the diffusion rate of cow belching, we’re most proud of our full-scale 3D design. We created a working, wearable, and organic technology with real-world products. Performing a multitude of flow, pressure, and power calculations all to create a product that we can confidently say works, and is scalable, instills in us an unmatchable feeling of success and pride. The only way that we could have topped this hackathon is if we had access to cows to truly execute full-scale production of the design and see it in action ourselves.

What we learned
In our ideation process, we learned about the importance of constraints, complex planning, and 3D design. For constraints, we started by thinking too big, which slowed us down in the beginning as we tried to tackle too much at once. By constraining ourselves to smaller problems and more specific instances we were able to target one specific aspect of a problem and fully develop the solution. This is where our complex planning skills greatly developed. We realized after every single part that we added we needed smaller supporting parts, regulatory parts, and cross integrative parts. It was difficult to resist diving in and immediately building our prototype, but we learned that the way to make the best product was by planning and designing every single aspect before touching any physical part and building a body. By doing this we found that we really deeply understood every single aspect of our design and could make optimizing decisions during the design process; for example, analyzing the pros and cons between a self-priming pump and a peristaltic pump. Finally, we had to learn about how to optimize and scale our 3D models so that we could 3D print them for our model body. 

What's next for Got Methane?
As much as we love animals, we don’t think our next step is going to be buying and taking care of a cow to measure our methane capture efficiency. In all seriousness though, our current nozzle for ‘vacuuming’ up cow burps is our most significant means of power consumption and also isn’t able to get 100% of a cow's methane output. We want to improve this by having a more passive input method that also has a greater capture efficiency since the end goal is capturing 100% of a cow's methane output. Additionally, we would like to explore more feasible ways of incorporating CO2 methane filtration in the cow’s harness rather than relying on outside sources for such ‘purification’. The only non-industrial methods available today are experimental polymeric matrices with metal-organic framework and nano-pores. This technology is unfeasible, because of its cost reflected by the fact that it’s only produced in singular quantities by research labs. If we are able to capture all of the methane put out by cows (remove 40% of global methane emissions) and put this directly to use in more sustainable practices, we would dramatically support the recovery and well-being of the environment and our oh-so-important home, planet Earth.
",https://grabcad.com/library/got-methane-cow-model-1/details?folder_id=11998454,https://youtu.be/C9hMe6elIMk,"Body Track, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack","solidworks, imovie, grabcad",,Georgia Institute of Technology - Main Campus,3,yes,no,no,no
Spatial-Speech Isolation & Captioning,https://robotech2022.devpost.com/submissions/317503-spatial-speech-isolation-captioning,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 21:33:07,"Inspiration

Our primary inspiration was the sci-fi idea of having overhead subtitles for every conversation in real life - with self-translating captions if you're speaking with someone in a different language!
Delving into it, we discovered the cocktail party problem: a classic problem at the intersection of physics, mathematics and CS - given mixed audio from multiple sources (like a party), isolate the voice of each speaker. There has been considerable progress, in academia and applications, towards solving this with spectral decomposition of audio - using the fact that different voices, music, and other audio objects produce audio with fundamentally different physical characteristics (like amplitude and frequency) that can be used to separate them. But this is a far cry from true spatial isolation that can fulfill our vision - so we set out to create a practical method to spatially isolate audio sources.

What it does

The implementation consists of 2 parts: an Android app and a spatially-aware robot mounted on an RC car. The robot on the car contains 2 microphones that spatially identify the source of audio, i.e, where a particular speaker is relative to it. A phone running the app is mounted on the car. After the robot spatially isolates the speaker, it rotates the phone towards them, and then the app listens to their speech and transcribes it to text captions correctly positioned relative to the speaker.

How we built it

The app was built using Google cloud resources for speech-to-text translation, and Android Studio to build the app. The robot uses an Arduino, 2 microphones, and other required circuitry to do a bunch of math that compares the different audio received by the 2 different microphones to identify the position of a speaker and rotate the phone towards them.

Challenges we ran into

Our initial biggest hurdle was the sea of academic discourse to sort through. After catching up to modern research, we delved into implementing a model theorized literally 20 days ago (ViVoT) - using a Deep Learning model to create an AR phone app that does spatial audio isolation with the camera and phone microphones to overlay live captions above each speaker. However, halfway through implementing the paper's model, we realized that the paper didn't provide all the necessary details to implement it - and on emailing its author, we got a confirmation that it would only be fully released after the paper was accepted by the journal and published. We then decided to pivot to our current robot + app as an alternative mechanical/ECE solution for spatial isolation similar to older papers we had read, instead of a pure machine learning one.
While working on the robot, Arduino's sampling rate is actually too low to use 2 microphones to normally identify the source of a particular sound; we ultimately had to overclock it to make it work!

Accomplishments that we're proud of

Integrating the Google cloud NLP RNN model for speech-to-text transcription and captioning into the app natively on Android was a challenging task of combining multiple tech stacks together. The process of debugging the Arduino and microphones was painstaking, but ultimately a happy achievement.

What we learned

What's next for Spatial Source Speech Captioning

We are still in touch with Dr. Montesinos to pursue applying his Deep Learning model as an AR app once the paper is fully published. The scope of spatial audio isolation for captioning is limitless - hearing aid systems/speech enhancement, noise control: military and industrial, noise pollution, audio surveillance & acoustic signal processing), automatic music transcription, and of course, AR Glasses for live overhead subtitle captioning are all known and developed use cases for this technology that we are excited to further delve into in the future!
",https://github.com/Aryan-Poonacha/source_tracker,https://youtu.be/Dyjq48SI2x4,"Body Track, Electrical Track, Design Track, Software Track","arduino, android-studio, google-cloud, java, circuitry",,"Duke University, Georgia Institute of Technology - Main Campus",2,yes,yes,yes,yes
Untitled,"",Draft,Pending,Manage team,04/01/2022 21:43:28,"","",,"","",,Georgia Institute of Technology - Main Campus,1,"","","",""
Untitled,"",Draft,Pending,Manage team,04/01/2022 21:47:01,"","",,"","",,Georgia Institute of Technology - Main Campus,0,"","","",""
Sea Cleaner,"",Draft,Pending,Project overview,04/01/2022 21:49:03,"","",,"","",,"Georgia Institute of Technology - Main Campus, University of Georgia",1,"","","",""
PetCat,https://robotech2022.devpost.com/submissions/317512-petcat,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 22:00:49,"Inspiration ocean cleaning is a problem

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for PetCat
",https://github.com/HoodedPitohui/ACO-Underwater-Plastics,https://www.youtube.com/watch?v=dQw4w9WgXcQ&t=7s,"","matlab, solidworks, powerpoint",,Georgia Institute of Technology - Main Campus,3,no,no,yes,yes
Sustainable Sustainability,"",Draft,Pending,Additional info,04/01/2022 23:28:17,"Inspiration: Sung-Kyu Lim, Dragon Ball, Buzz, Ace, Godzilla

What it does: impress Sung-Kyu Lim professor at Georgia Tech

How we built it: tba

Challenges we ran into: getting started/time conflicts

Accomplishments that we're proud of: showing up

What we learned: this Robotech is the first ever robotics hackathon at GT

What's next for Sustainable Sustainability: the product itself
","",https://www.youtube.com/watch?v=VjzgbZL12VI,"",brainhoney,,Georgia Institute of Technology - Main Campus,0,yes,no,no,no
CleanSeas,https://robotech2022.devpost.com/submissions/317527-cleanseas,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 23:28:43,"Inspiration

Inspired by past projects in marine conservation as well as designs ranging from The Ocean Cleanup to CleanSpace orbital debris collection projects.

What it does

CleanSeas is an intelligent ocean cleanup robot that detects and collects sizable pieces of trash while leaving marine animals, plants, and microorganisms alone.

How we built it

Our model is designed with Fusion360, soon to be undergoing design analysis in Autodesk CFD. Our software is programmed in C and uploaded to an Arduino Mega microcontroller. A Lafvin mechanical arm kit is used in this prototype to represent what the final version might look like.

Challenges we ran into

How to navigate underwater without endangering wildlife or destroying the hardware, how to develop a visualization algorithm that reliably distinguishes between jellyfish and plastic bags (when even turtles can't distinguish between them), how to maneuver underwater without pushing target trash away.

Accomplishments that we're proud of

What we learned

What's next for CleanSeas
","",https://www.youtube.com/watch?v=dQw4w9WgXcQ&ab_channel=RickAstley,"Electrical Track, Design Track, [Texas Instruments] Most Creative Hack , Software Track, [Texas Instruments] Most Sustainable Hack","autodesk-fusion-360, c, arduino, lafvin, cfd",,"Princeton University, University of Central Florida",3,yes,yes,yes,yes
Internet Controlled Teleoperation Robot,https://robotech2022.devpost.com/submissions/317542-internet-controlled-teleoperation-robot,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 04:20:53,"Inspiration

Updating soon

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Teleop - Internet Controlled Robot
","",https://youtu.be/4i3BSTGeQuQ,"Body Track, Electrical Track, Design Track, [Texas Instruments] Most Creative Hack , Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack",python,,sharda university,0,yes,yes,yes,yes
"Hi-Five, Low Waste","",Draft,Pending,Additional info,04/02/2022 04:32:38,"Inspiration

Our inspiration for this project was the drastic rise in room temperature during college parties from so many warm bodies being packed together in a room. Not only does this make everybody at the party hot and uncomfortable, but it is also a major waste of gas being used to heat the frat house or party room. 

What it does

This brought about idea to build a robotic device that keeps track of the number of people that enter a building on a daily basis and adjust the average room temperature accordingly.

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Hi-Five, Low Waste
","",https://www.youtube.com/watch?v=dQw4w9WgXcQ,"Electrical Track, Design Track, [Texas Instruments] Most Creative Hack , Software Track, [Texas Instruments] Most Sustainable Hack","arduino, swift, tinkercad",,Georgia Institute of Technology - Main Campus,2,no,yes,yes,yes
Pleurotus Ostreatus Automaton,https://robotech2022.devpost.com/submissions/317554-pleurotus-ostreatus-automaton,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 08:07:24,"Inspiration

This project was inspired by our group's personal connections, interestingly, to the mushroom space—one of our group members is close friends with several people in the agriculture industry and a passionate researcher at Penn State specializing in mushrooms.  Because we had unique insight into the underutilized capabilities of oyster mushrooms, we felt well-equipped to design an efficient solution and dive into this market. 

What it does

We are essentially building an autonomous robotic oyster mushroom farm, wherein oyster mushrooms are grown in a controlled environment in coffee grounds or sawdust (which would otherwise be disposed) and harvested autonomously.  We can hence produce oyster mushrooms, known to have many health benefits, and the bi-product from the waste actually becomes a very good fertilizer, important amid a global soil erosion crisis.

Our current prototype holds a 3D-printed cylinder with holes in it—mushrooms grown in the cylinder are forced to protrude through these holes.  We also have a model blade, which can autonomously spin around the cylinder, chopping the mushrooms which can then be collected.  We also have a humidity and temperature sensor that allow us to monitor the conditions of the growth environment.  Our fully developed plan also includes a vacuum that collects mushroom spores, allowing us to continuously replace harvested mushrooms, and a water pump and filament to modify, respectively, the humidity and temperature of the environment.

We currently have a web app integrated with a camera sensor to enable live monitoring of the environment and manual controls if necessary, and a computer vision pipeline that can detect when mushrooms are first present and when they begin flowering, at which point the harvest will automatically begin with no human intervention necessary.  We are working towards integrating a neural network that will over time monitor the progress given the environmental conditions to assess the optimal values; these features will allow us to become an efficient, profitable, and sustainable farm with very minimal labor.

How we built it

For our prototype, we 3D printed a simplified version of a blade and the cylinder used for growth, and used hot glue for stands.  We mounted the blade to a stepper motor with a Raspberry Pi as a central module to control the motor and all of our sensors.  The remainder of our parts for our full product plan were CADed in Solidworks.

On the software side, we interfaced between Python and our Raspberry Pi module to read from our camera and humidity/temperature sensors, which are sent to a web server designed in Flask for live monitoring and manual controls.  We also created an OpenCV pipeline by tuning a color range filter based on the expected color of oyster mushrooms compared to that of our system, and tested it against several images to verify near-perfect differentiation between a mushroom-free environment, an environment with budding mushrooms whose spores need to be collected for future mushroom growth, and an environment with flowering mushrooms that need to be harvested.  We have also begun the implementation of a neural ordinary differential equation system; we will collect data over time both from our robot and those that we sell to consumers, and use that data for this network to converge on optimal humidity and temperature conditions for growth.

Another emphasis of our project is sustainability and scalability.  We created a full business plan and a Lean Canvas to ensure that we had a clear grasp on a problem and a reasonable means of pursuing its solution.  We discovered that the market for mushrooms is actually skyrocketing, oyster mushrooms being the largest beneficiary, partly because of their many health benefits.  We are hence confident that we are entering an underserved market for gardeners, consumers, restaurants, and farmers.

Challenges we ran into

Mechanically, our 3D printer tolerances were not as we expected; our holes shrunk, so we used a soldering iron to melt the PLA to make more room.  But that melting distorted the plastic, so our blade is now held tightly by duct tape to ensure it doesn't collide with the cylinder.  Solidworks assembly also returned errors and invalid arrangement of parts, so certain features were made using shared sketches, an easier way to relate part geometries while still preserving complex features.

For firmware, the library for a sensor that we were trying to use also had been deprecated and did not work as expected; hence, we had to find a different library after hours of debugging became fruitless.  However, the alternative library, while newer, relied on ""circuit Python"", which was not compatible with the remainder of our code base.  Eventually, we discovered an open-source pure Python library that did still work, but it took many hours of debugging to diagnose the problem in the first place.

On the software side... multithreading.  In order to run our web application, we had to have both the web app and the robot running.  That meant that the web application would occupy one thread and the image capture would be running on the other thread.  There were, however, a few cases where variables would need to be displayed around the same time the values were being initialized, as well as a few times where both threads were utilizing the same values, leading to a race condition that was particularly challenging to discover.  However, the debugging process did help us learn a lot about Flask—which we had never used before—and some fairly common problems with multithreading safety.

Accomplishments that we're proud of

• Developing a creative and impactful plan, and being able to make each component move as intended while maintaining our ingenuity and complexity too much.

• Learning how to use Flask and successfully isolating and repairing the race condition to achieve a functional supporting web application

• Learning to use OpenCV and applying it to a real-life situation with very good experimental results

• Maintaining focus on our goals overall despite the difficulty of debugging and the need for creative, unplanned fixes, like the duct tape on our system to compensate for the degraded plastic and salvage our 3D printed material, and the alternative library after our initial library was too outdated.

What we learned

We discovered that complex geometries are often best made using sketches that reference their surroundings instead of independent sketches; these are more efficient good design practices.  We also learned how to use Flask to develop web applications that facilitate interaction with other devices, OpenCV for camera detection in a real-world situation, and a Raspberry Pi with Python to control our motors and sensors, which was unfamiliar as most of our previous experience had been with Arduino systems.  Because our team had a mix of software, mechanical, and electrical expertise, working on a project of this scale together involved extensive collaboration and helped us all gain experience with the ideation and implementation processes in many subfields of robotics.

What's next for Pleurotus Ostreatus Automaton

While we have a model of our planned product, we have to continue developing our model to actually complete the build and test our design decisions.  We are also hoping to take advantage of our access to potential customers and experts in our space to ensure that our design is as economically viable as our current data suggests.  Once we are ready to go to market, we are hoping to sell our oyster mushrooms at local farmers' markets, and advertise our fertilizer and the robot itself to farmers we know and eventually expand to retail stores like Home Depot.
","https://github.com/N8BWert/Pleurotus-Ostreatus-Automaton, https://docs.google.com/presentation/d/19EiZ7T7d_PWRLdc_MkPWV6oT4SqFDwOcTgxzNNcQWdE/edit?usp=sharing",https://youtu.be/GbP5y0OIDaU,"Body Track, Electrical Track, Design Track, [Texas Instruments] Most Creative Hack , Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack","python, raspberry-pi, solidworks, flask, opencv",,Georgia Institute of Technology - Main Campus,3,yes,yes,yes,yes
Project,"",Draft,Pending,Project details,04/02/2022 08:34:10,"Inspiration

Inspo

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Project
","",https://www.youtube.com/watch?v=zL19uMsnpSU,"",c++,,Northeastern University,2,"","","",""
GreenJoule,"",Draft,Pending,Additional info,04/02/2022 09:45:00,"","",,"Electrical Track, [Texas Instruments] Most Creative Hack , Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack","",,Georgia Institute of Technology - Main Campus,1,no,yes,no,yes
One Smart Apple,https://robotech2022.devpost.com/submissions/317643-one-smart-apple,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 13:34:47,"Inspiration

Growing up one of the lessons we were taught was to not waste food. This simple lesson has stayed with me throughout my life and has led me to explore what implications this practice has. Through research I learned that food waste actually contributes to a lot more than just the waste of food. Rather wasting food also leads to the waste of various other resources including water and a contribution to gas emissions among others. I wanted to focus on apples specifically since picking and eating apples was the staple snack and fruit of my childhood, it's also easier to begin with a narrower and specific project scope. It is also the example fruit used in many circumstances and even in photos to represent food/fruit as a whole.

What it does

The ""One Smart Apple"" sorting device uses a DA meter, x-ray, and software to identify a variety of characteristics of an apple- size, ripe-ness, blemishes, among other aspects- to determine the potential and most sustainable use of that apple. By taking these factors (and additional facts such as smaller apples can last longer) into account, the device is able to translate that data into an action by the motor further down the conveyor belt to sort the apple into it's corresponding bin. By determining how long the apple lasts or the general quality, the specific apple that fits within the previously established criteria could be sent to it's optimal location be it long term, short term storage, composting (decreases food in landfills), low grade/clearance section level food, etc. This would maximize profits as well as promote sustainability. 

How we built it

The device is comprised of a conveyor belt that transports the apples one by one through the scanner and analyzer. This component is comprised of the DA meter, X-ray detection, and AI software. The data is then process and communicated via Bluetooth signals to the motor component for sorting. Additionally a visual broadcast feature could be added to transfer the data, information, and visuals to a nearby computer screen if desired.
The motor component and bluetooth receiver would be underneath the conveyor belt closer to the bins to control the movement of the rudder like components to allow for sorting.

Challenges we ran into

Difficulty finding the amount of smart sorting devices currently in use and even apple sorting facilities since these can be a part of the farm or a separate plant. 

Accomplishments that we're proud of

The process design of utilizing the different characteristics of the apples to send them to different places that would maximize the amount of apples used along with profit. Additionally these efforts contribute to a more sustainable practice and environment. 

What we learned

Food waste contributes to a lot more waste than I previously recognized.
How the apple industry's farm to fork supply chain works.

What's next for One Smart Apple

The development of the software to process the x-ray and DA meter's data to determine the cutoffs for the different characteristics of the apples (there is literature to support and guide in this process) for sorting. 
Furthermore, another step includes the building of the physical device or like prototype by combining the components mentioned.
","",https://youtu.be/C4dY21r0UMA,"Design Track, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Sustainable Hack","photoshop, powerpoint",,Georgia Institute of Technology - Main Campus,0,no,no,yes,no
A.F.K,https://robotech2022.devpost.com/submissions/317647-a-f-k,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 13:47:01,"Inspiration

Each year when I travel to Bangladesh I get old phones from family and friends to redistribute to friends back home. The phones which would otherwise sit unused in drawers or end up in a trash somewhere see use. The first laptop I bought refurbished failed twice on me. After I opened it up to see what was wrong, I realized that the parts that failed were all third party parts that did not originally ship with the computer. I wished then that I had known more about the repair history of the laptop.

What it does

AFK (Accountability, Frugality, Knowledge) is a application which allows consumers and repair shops to log their devices repairs to allow for more transparency and incentivize consumers to purchase or sell more of their used devices. For consumers to use, the application is free though we hope to offer a paid version with business analytics and eBay and Amazon API integration for refurbish and repair stores. In addition to this, it directly links consumers to the documentation they need to repair their own devices they purchase or browse.

How we built it

We used GitHub to document our design process , Figma to create a working mockup, and java initially to create our first prototype.

Challenges we ran into

We ran into difficulty trying to determine the logistics of the pitch. Specifically how to incentivize consumers to tell the truth when registering devices. We initially tried to implement a database with a javafx application and while we were unsuccessful, our mistakes taught us how to setup the database and connect at a basic level.

Accomplishments that we're proud of

We are proud of our mockup and the depth of our solution. We think that it has a real use as a product we ourselves would actually use.

What we learned

We learned about the business aspect of pitching, risk analysis, profitable business models, as well as basic database management with Python.

What's next for A.F.K

In the future we hope to expand our infrastructure for other high value items which create waste. We could try to work directly with first-party refurbishing centers, though this would be difficult as it acts against their interests to sell more devices. We also want to expand our documentation of each device, maybe we could include videos of people replacing the parts or helpful tips for certain devices. It is very common for people removing the screens and keyboard on laptops to accidentally rip the ribbon cables, so if consumers were notified of how to properly remove it for their model it could prevent this.
","https://github.com/FIshWIthLegs9161/robotech-1, https://www.figma.com/proto/g8dR8cBsCW29rN3hGOEhlU/AFK-App?node-id=14%3A441&scaling=scale-down&page-id=0%3A1&starting-point-node-id=14%3A441&show-proto-sidebar=1",https://youtu.be/t7o3oqfVEIw,"Design Track, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack","java, figma",,"University of Georgia, Georgia Institute of Technology - Main Campus",2,no,no,yes,no
